좋아하다;to like;aimer
싫어하다;to dislike;détester
살다/살아요;to live in;habiter
맞아요;That's correct.;C'est exact.
가다;to go;aller
오다/와요;to come;venir
알아요;to know;savoir, connaître
모르다/몰라요;to not know;ne pas savoir
괜찮아요;It's okay.;C'est bon / ça va.
이야기하다;to speak, to chat;parler, discuter
조용하다;quiet, calm;être calme, silencieux
식사하다;to eat;manger
전화하다;to make a phone call;téléphoner à qq'un
숙제하다;to do homework;faire ses devoirs
공부하다;to study;étudier
일하다;to work;travailler
목욕하다;to take a bath;prendre un bain
샤워하다;to take a shower;prendre une douche
요리하다;to cook;cuisiner
일어나다;to get up, to stand up;se lever
자다;to sleep;dormir
세수하다;to wash up;faire sa toilette
여행하다;to travel;voyager
수영하다;to swim;nager
쇼핑하다;to go shopping;faire du shopping
바쁘다;busy;occupé
만나다;to meet (someone);rencontrer / voir (des gens)
보다/봐요;to see;voir, regarder
읽다;to read;lire
춤을 추다;to dance;danser
마시다;to drink;boire
가르치다;to teach;enseigner
빌리다;to borrow;emprunter
듣다;to listen;écouter
받다;to get;obtenir
배우다;to learn;apprendre
먹다;to eat;manger
사다;to buy;acheter
테니스를 치다;to play tennis;jouer du tennis
찾다;to search, to find;chercher, trouver
외우다;to memorize;mémoriser
걷다;to walk;marcher
시작하다;to begin, to start;commencer
끝나다;to end, to finish;terminer
재미있어요;to be fun, interesting;amusant, intéressant
같아요;same, identical;pareil, identique
이사하다;to move, to change residence;déménager
결혼하다;to marry, to get married;se marier
타다;get on, board, take (bus, train);monter dans / prendre (le bus, le train)
입다;to wear (clothes);porter (vêtements)
신다;to wear (shoes);porter (chaussures)
주다;to give;donner
피곤하다;to be tired, exhausted;être fatigué
아프다;to be sick, have pain;être malade, avoir mal
예쁘다;to be pretty, beautiful;être joli
쓰다;to write;écrire
슬프다;to be sad;être triste
나쁘다;to be bad, unpleasant;être mauvais
사진을 찍다;to take a photo;prendre une photo
그림을 그리다;to paint (painting);peindre (peinture)
초대하다;to invite;inviter
청소하다;to clean;nettoyer
준비하다;to prepare;préparer
복습하다;to review;réviser
다니다;attend (school);assister à, aller à (école)
졸업하다;to graduate;être diplômé
빨래하다;to do laundry;faire sa lessive
기다리다;to wait;attendre
산책하다;to go for a walk, to stroll;se promener
설거지하다;to wash the dishes;faire la vaisselle
다리미질하다;to iron clothes;repasser le linge
쉬다;to rest, to pause;se reposer, faire une pause
돈을 찾다;to withdraw money;retirer de l'argent
돈을 보내다;to send money;envoyer de l'argent
도착하다;to arrive;arriver
기쁘다;to be happy/glad;être content/heureux
만들다:to make;faire, fabriquer
-를 타다;to board, to take (vehicle);prendre/monter dans (véhicule)
-에서 내리다;to get off at (station);descendre à (station)
-로 갈아타다;to transfer;changer (transport)
앉다;to sit;s'asseoir
놀다;to have fun;s'amuser
늦다;to be late;être tard, en retard
가깝다/가까워요;to be near/close;être proche
멀다;to be far;être éloigné
복잡하다;to be complex, congested, crowded;complexe, emcombré
걸리다/걸려요;to take (time);prendre (du temps)
지우다;to erase;effacer
열다;to open;ouvrir
닫다;to close;fermer
