받침;final consonant;la consonne finale
질문;question;une question
독일;Germany;l’Allemagne
영국;United Kingdom;le Royaume-Uni
프랑스;France;la France
태국;Thailand;la Thaïlande
일본;Japan;le Japon
중국;China;la Chine
미국;United States;les États-Unis
한국;Korea;la Corée
캐나다;Canada;le Canada
러시아;Russia;la Russie
호주;Australia;l’Australie
베트남;Vietnam;le Vietnam
나라;country / nation;un pays
직업;a job;un métier
이분;this person;cette personne
좋아해요;to like;aimer
싫어해요;to dislike;détester
살아요;to live in;habiter
어디;where ?;où ?
취미;a hobby;un hobby
이름;name;le nom
칠반;blackboard;un tableau noir
분필;chalk;une craie
이어폰;earphones;des écouteurs
문;door;une porte
창문;window;une fenêtre
시계;a clock / a watch;une horloge / une montre
에어컨;air conditioner (AC);la climatisation
벽;wall;le mur
볼펜;pen;un stylo
연필;pencil;un crayon
지갑;Wallet / purse;un porte-monnaie
양말;socks;des chaussettes
우산;umbrella;un parapluie
귀걸이;earrings;des boucles d’oreilles
사탕;candy;des bonbons
노트북;laptop;un PC portable
공책;notebook;un cahier
바지;pants;un pantalon
목걸이;necklace;un collier
휴지;toilet paper;du papier toilette
반지;a ring;une bague
비누;soap;du savon
거울;mirror;un miroir
빗;comb;un peigne
냉장고;fridge;un frigo
신발;shoes;des chaussures
운동화;sneakers;des baskets
운동;exercise (sport);du sport
구두;dress shoes;des chaussures de ville
부츠;boots;des bottes
전화;a phone (mobile or landline);un téléphone (fixe ou portable)
휴대폰;a mobile phone;un téléphone portable
치약;toothpaste;du dentifrice
숟가락;spoon;une cuillère
칫솔;toothbrush;une brosse à dent
전등;light / light bulb;une lampe / la lumière
모자;hat;un chapeau
가방;bag;un sac
자;ruler;une règle
안경;glasses;des lunettes
지우개;eraser;une gomme
사전;dictionary;un dictionnaire
복사기;copier, copy machine;une photocopieuse
책상;desk;un bureau (meuble)
교탁;the teacher’s desk;le bureau du professeur
책;book;une livre
가위;scissors;des ciseaux
젓가락;chopsticks;des baguettes
스카치테이프;sticky tape, Scotch tape;du ruban adhésif / du scotch
치마;skirt;une jupe
누구;who ?;qui ?
풀;glue;de la colle
칼;knife / box cutter;un couteau / un cutter
필통;pencil case;une trousse
과자;snack;des biscuits
여권;passport;un passeport
열쇠;key;une clef
버스;bus;un bus
물;water;de l’eau
차;tea;du thé
녹차;green tea;un thé vert
레몬차;lemon tea;un thé citron
맥주;beer;de la bière
오렌지 주스;orange juice;du jus d’orange
종이;paper;du papier
사진;picture, photo;une photo
봉투;enveloppe;une enveloppe
샤프;mechanical pencil;un critérium
수건;towel;une serviette
교통가드;transportation card;une carte de transport
초콜릿;chocolate;du chocolat
우유;milk;du lait
뭐;what ?;quoi ?
의자;chair;une chaise
빵;bread;du pain
텔레비전;television;la télévision
컵;a cup;une tasse / un mug
커피;coffee;du café
컴퓨터;computer;un ordinateur
라딩ㅎ;radio;une radio
학생;student;un.e étudiant.e
의사;doctor;un.e médecin
선생님;teacher;un.e professeur
회사원;office worker;un.e employé.e de bureau
가수;singer;un chanteur / une chanteuse
간호사;nurse;un.e infirmier.e
영화배우;film actor;un acteur / une actrice
요리사;a cook;un.e cuisinier.e
운전기사;a driver;un chauffeur
경찰;police officer;un.e policier.e
국인;soldier;un soldat
기자;journalist;un.e journaliste
우체국;post office;un bureau de poste
목욕탕;public baths / bathhouse;des bains publics
편의점;convenient store;convenient store
회사;a company;une entreprise
사무실;an office;des bureaux (d’entreprise)
수영장;swimming pool;la piscine
대사관;embassy;l’ambassade
도서관;library;la bibliothèque
서점;bookstore;une librairie
영화관;cinema;un cinéma
출입국 외국인 사무소;immigration office;le bureau d’immigration
학교;school;une école
교실;classroom;une salle de classe
은행;bank;la banque
식당;restaurant;un restaurant
화장실;toilet / restroom;des toilettes
병원;hospital;un hôpital
문구점;stationery store;une papeterie / un magasin de fournitures
박물관;museum;un musée
백화점;department store (mall?);un centre commercial / grand magasin
슈퍼마켓;supermarket;un supermarché
공항;airport;un aéroport
장소;a place;un lieu / un endroit
여기;here;ici
지도;map;une carte (géographique)
호텔;hotel;un hôtel
약국;pharmacy;une pharmacie
성당;catholic church;une église catholique
보건실;infirmary / nurse’s office;l’infirmerie
고속버스 터미널;Express Bus Terminal;terminal de bus express
반갑습니다;Nice to meet you.;Ravi de vous rencontrer.
알아요;to know;savoir
실례합니다;Excuse me.;Excusez-moi.
